endpoint,year,session_key,manifest_status,manifest_record_count,manifest_output_path,file_exists,file_path,file_row_count,row_count_delta,reconciliation_status,issue_type,notes
drivers,2023,9086.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2023/session_key=9086.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
laps,2023,9086.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/laps/year=2023/session_key=9086.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
pit,2023,7779.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=7779.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
pit,2023,7787.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=7787.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
pit,2023,7953.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=7953.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
pit,2023,9069.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9069.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
pit,2023,9070.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9070.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
pit,2023,9078.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9078.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
pit,2023,9086.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9086.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
pit,2023,9094.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9094.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
pit,2023,9204.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9204.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
pit,2023,9212.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2023/session_key=9212.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
pit,2024,9549.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2024/session_key=9549.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
pit,2024,9616.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2024/session_key=9616.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
pit,2024,9635.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2024/session_key=9635.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
pit,2025,9934.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/pit/year=2025/session_key=9934.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
position,2023,9086.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/position/year=2023/session_key=9086.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
race_control,2023,9086.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/race_control/year=2023/session_key=9086.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
session_result,2023,9086.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/session_result/year=2023/session_key=9086.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
weather,2023,9086.0,failed,0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/weather/year=2023/session_key=9086.jsonl,False,,,,manifest_failed_no_file,manifest_only,required session endpoint failed; consider targeted retry
